,count,mean,std,min,25%,50%,75%,max
frameTime,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0semitoneFrom27.5Hz_sma3nz_amean,141.0,27.367719361702125,4.85986227759068,17.79699,22.99531,26.36615,32.50571,35.98959
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,141.0,0.13703484099290783,0.037288267215351535,0.06492756,0.110952,0.129717,0.1626643,0.2715769
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,141.0,25.261059432624112,4.969885787246276,16.14983,20.92662,24.36366,30.16943,34.53729
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,141.0,26.878520992907802,5.038266385013274,17.54729,22.26616,25.99367,31.98933,35.61888
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,141.0,29.28410510638298,5.241347828363919,19.1003,24.83328,28.12962,34.40793,38.38276
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,141.0,4.023045340425532,1.1151114780625095,1.503681,3.190367,3.877792,4.733356,7.285622
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,141.0,182.5550708510638,67.84797470184577,66.42548,135.343,172.443,217.1229,375.2087
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,141.0,330.88908581560287,114.46287265267758,124.3554,260.5838,323.6206,379.5525,883.5905
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,141.0,61.52268191489362,27.545208621162697,16.0258,41.15033,58.28092,76.29845,159.616
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,141.0,161.0177555319149,92.13212794685485,14.04899,95.83762,153.653,199.6213,683.0014
loudness_sma3_amean,141.0,0.09638050588652483,0.06823912108156366,0.03451473,0.06467269,0.08013988,0.1072817,0.6410657
loudness_sma3_stddevNorm,141.0,1.1806328219858155,0.20609700774784676,0.6475271,1.042209,1.152218,1.277536,1.769262
loudness_sma3_percentile20.0,141.0,0.02242628539007092,0.022858500931339946,0.0161865,0.0174641,0.01826756,0.01967254,0.2167006
loudness_sma3_percentile50.0,141.0,0.046559823404255324,0.05050815636370722,0.01810571,0.02589319,0.03439257,0.04941228,0.4850846
loudness_sma3_percentile80.0,141.0,0.1607036560992908,0.11366272215022638,0.03198333,0.1058094,0.1377948,0.184489,0.9977213
loudness_sma3_pctlrange0-2,141.0,0.13827737418439717,0.09681493701021764,0.01541429,0.08765215,0.1175219,0.1646612,0.7810207
loudness_sma3_meanRisingSlope,141.0,2.387325222695036,1.2754767491213634,0.8635286,1.602877,2.086671,2.815384,9.172115
loudness_sma3_stddevRisingSlope,141.0,2.1944157170212764,1.7606264077618106,0.5927542,1.325275,1.804919,2.409452,16.39743
loudness_sma3_meanFallingSlope,141.0,1.8785557021276595,0.8917077174235325,0.6043081,1.246582,1.653978,2.28946,5.342639
loudness_sma3_stddevFallingSlope,141.0,1.998634040425532,1.283616944380654,0.459581,1.269927,1.715564,2.241169,8.661287
jitterLocal_sma3nz_amean,141.0,0.02578788510638298,0.004701849291020292,0.01584155,0.02247572,0.02517744,0.02828639,0.04639848
jitterLocal_sma3nz_stddevNorm,141.0,1.630510624113475,0.3950313323983399,1.025749,1.310486,1.567209,1.953539,2.713961
shimmerLocaldB_sma3nz_amean,141.0,1.073453494326241,0.14668052733347628,0.6985571,0.9832515,1.062802,1.164353,1.545778
shimmerLocaldB_sma3nz_stddevNorm,141.0,1.0499370382978723,0.10803875994341612,0.6675479,0.9834298,1.049509,1.117914,1.307795
HNRdBACF_sma3nz_amean,141.0,6.659679290780142,2.0632217773474246,2.830711,4.924574,6.214481,8.46404,11.05811
HNRdBACF_sma3nz_stddevNorm,141.0,0.4279477177304965,0.09885372849399135,0.2033401,0.3637994,0.4044534,0.4816842,0.7289152
logRelF0-H1-H2_sma3nz_amean,141.0,4.761922682269503,2.2053874016421244,-2.132744,3.311985,4.661225,6.286241,10.21202
logRelF0-H1-H2_sma3nz_stddevNorm,141.0,1.4892736673758866,3.2102437604385745,-32.97203,1.103847,1.396436,1.808991,8.327108
logRelF0-H1-A3_sma3nz_amean,141.0,24.711465319148935,3.350262373208052,13.385,22.50158,24.8951,27.038,34.55962
logRelF0-H1-A3_sma3nz_stddevNorm,141.0,0.36629441702127663,0.07161334629312069,0.2301724,0.3165298,0.3559964,0.4006537,0.7030287
F1frequency_sma3nz_amean,141.0,553.380485106383,74.91920693186184,441.8573,487.5164,536.694,616.0328,704.2911
F1frequency_sma3nz_stddevNorm,141.0,0.2742235255319149,0.035924586478068204,0.2079535,0.2491108,0.2698335,0.2955201,0.3995294
F1bandwidth_sma3nz_amean,141.0,1398.169709219858,39.33089951616358,1305.708,1371.775,1398.717,1426.133,1497.504
F1bandwidth_sma3nz_stddevNorm,141.0,0.1378688709219858,0.01101419194586524,0.115126,0.1301333,0.1367956,0.1447169,0.1700315
F1amplitudeLogRelF0_sma3nz_amean,141.0,-150.83083049645393,16.68669403171685,-188.9172,-163.2656,-150.1896,-141.0437,-107.7323
F1amplitudeLogRelF0_sma3nz_stddevNorm,141.0,-0.5497433680851065,0.12598963292024484,-0.8785025,-0.6235119,-0.5496174,-0.4584462,-0.2418205
F2frequency_sma3nz_amean,141.0,1519.4686099290777,91.70165634115365,1344.11,1444.078,1503.228,1596.737,1714.342
F2frequency_sma3nz_stddevNorm,141.0,0.14020468652482268,0.012864677999480482,0.1116211,0.1313015,0.1395453,0.1485368,0.1827011
F2amplitudeLogRelF0_sma3nz_amean,141.0,-153.0420879432624,16.100383495532355,-189.6131,-164.7199,-152.2461,-143.7382,-112.9634
F2amplitudeLogRelF0_sma3nz_stddevNorm,141.0,-0.5092748460992907,0.11381341972991996,-0.7865299,-0.571708,-0.5094424,-0.4317645,-0.2252328
F3frequency_sma3nz_amean,141.0,2499.6369007092194,96.74085772747321,2304.426,2429.207,2497.569,2586.384,2720.206
F3frequency_sma3nz_stddevNorm,141.0,0.08855643063829786,0.01093358960294907,0.06344355,0.08145706,0.08741896,0.09372639,0.1206183
F3amplitudeLogRelF0_sma3nz_amean,141.0,-154.9234794326241,15.560876583036782,-190.063,-166.1786,-154.2166,-146.3605,-116.9823
F3amplitudeLogRelF0_sma3nz_stddevNorm,141.0,-0.4819431631205674,0.10650126558174818,-0.7520464,-0.5403923,-0.4829816,-0.405452,-0.2156847
alphaRatioV_sma3nz_amean,141.0,-16.034371595744684,2.5341909797936726,-23.83969,-17.57619,-16.01067,-14.36005,-7.313075
alphaRatioV_sma3nz_stddevNorm,141.0,-0.4383109340425532,0.08905778867963593,-1.011199,-0.4730572,-0.4408882,-0.3839645,-0.2732992
hammarbergIndexV_sma3nz_amean,141.0,26.465302127659577,3.0687730531302404,16.68494,24.44699,26.37144,28.20517,35.2089
hammarbergIndexV_sma3nz_stddevNorm,141.0,0.2972570418439716,0.05245414274221975,0.1823893,0.2638694,0.3001004,0.3310379,0.491722
slopeV0-500_sma3nz_amean,141.0,0.016901986358865244,0.013639436333441363,-0.0177903,0.006687181,0.01673896,0.02820192,0.05065326
slopeV0-500_sma3nz_stddevNorm,141.0,-0.8531757,19.779656887997753,-163.5159,0.7688619,1.075644,2.12423,39.0914
slopeV500-1500_sma3nz_amean,141.0,-0.011068788183687943,0.004337626626890941,-0.0298824,-0.01352771,-0.01086122,-0.008319188,0.001618017
slopeV500-1500_sma3nz_stddevNorm,141.0,-1.7517258744680855,2.1242906913914177,-19.08573,-1.910387,-1.454902,-1.144639,10.32612
alphaRatioUV_sma3nz_amean,141.0,-16.34338560283688,1.8205665072123522,-25.38509,-17.302,-16.23717,-15.11869,-12.48599
hammarbergIndexUV_sma3nz_amean,141.0,27.622585815602836,2.0810994501822337,22.78362,26.21135,27.43808,28.63451,37.74092
slopeUV0-500_sma3nz_amean,141.0,-0.012539459331205673,0.006226868805647188,-0.03928095,-0.01567689,-0.01147785,-0.008338029,-0.0008108267
slopeUV500-1500_sma3nz_amean,141.0,0.013275115439716314,0.004607978980721946,-0.01783683,0.01217194,0.01376174,0.01525843,0.02092794
loudnessPeaksPerSec,141.0,1.0700639037588653,0.5012126197545141,0.02063525,0.6825555,1.111506,1.442313,2.053045
VoicedSegmentsPerSec,141.0,0.914718369503546,0.2073747151386098,0.3431363,0.7667454,0.9605123,1.062086,1.369505
MeanVoicedSegmentLengthSec,141.0,0.22046308794326241,0.044608275128398815,0.1292463,0.18929,0.2163636,0.2493,0.3489352
StddevVoicedSegmentLengthSec,141.0,0.19676905177304962,0.04016868598690954,0.1214243,0.1717938,0.1913764,0.2267334,0.3150251
MeanUnvoicedSegmentLength,141.0,0.7384697638297874,0.38101312954285044,0.28813,0.48994,0.621473,0.85765,2.645561
StddevUnvoicedSegmentLength,141.0,1.8269982014184394,0.7135552190373254,0.5155998,1.356858,1.687787,2.135254,4.264686
PHQ8_Score,141.0,6.716312056737588,5.746211473825604,0.0,2.0,6.0,10.0,23.0
